date,sensor,data
12-09-2018 20:11:03,F10,433
12-09-2018 20:11:10,P10,279
12-09-2018 20:11:10,P11,242
12-09-2018 20:11:10,P12,255
12-09-2018 20:11:17,F20,412
12-09-2018 20:20:01,F10,425
12-09-2018 20:20:09,P10,279
12-09-2018 20:20:09,P11,243
12-09-2018 20:20:09,P12,256
12-09-2018 20:20:16,F20,412
12-09-2018 20:30:01,F10,424
12-09-2018 20:30:08,P10,279
12-09-2018 20:30:08,P11,242
12-09-2018 20:30:08,P12,255
12-09-2018 20:30:15,F20,414
12-09-2018 20:40:01,F10,428
12-09-2018 20:40:08,P10,279
12-09-2018 20:40:08,P11,243
12-09-2018 20:40:08,P12,256
12-09-2018 20:40:15,F20,415
12-09-2018 20:50:01,F10,428
12-09-2018 20:50:09,P10,279
12-09-2018 20:50:09,P11,243
12-09-2018 20:50:09,P12,256
12-09-2018 20:50:16,F20,416
12-09-2018 21:00:01,F10,431
12-09-2018 21:00:08,P10,280
12-09-2018 21:00:08,P11,243
12-09-2018 21:00:08,P12,256
12-09-2018 21:00:15,F20,419
12-09-2018 21:10:01,F10,432
12-09-2018 21:10:08,P10,280
12-09-2018 21:10:08,P11,243
12-09-2018 21:10:08,P12,257
12-09-2018 21:10:15,F20,417
12-09-2018 21:20:02,F10,434
12-09-2018 21:20:09,P10,281
12-09-2018 21:20:09,P11,245
12-09-2018 21:20:09,P12,258
12-09-2018 21:20:16,F20,419
12-09-2018 21:30:01,F10,434
12-09-2018 21:30:08,P10,282
12-09-2018 21:30:08,P11,245
12-09-2018 21:30:08,P12,258
12-09-2018 21:30:15,F20,422
12-09-2018 21:40:01,F10,434
12-09-2018 21:40:08,P10,282
12-09-2018 21:40:08,P11,246
12-09-2018 21:40:08,P12,258
12-09-2018 21:40:15,F20,425
12-09-2018 21:50:01,F10,437
12-09-2018 21:50:08,P10,280
12-09-2018 21:50:08,P11,244
12-09-2018 21:50:08,P12,257
12-09-2018 21:50:15,F20,422
12-09-2018 22:00:01,F10,438
12-09-2018 22:00:08,P10,281
12-09-2018 22:00:08,P11,245
12-09-2018 22:00:08,P12,258
12-09-2018 22:00:15,F20,427
12-09-2018 22:10:01,F10,440
12-09-2018 22:10:09,P10,282
12-09-2018 22:10:09,P11,246
12-09-2018 22:10:09,P12,258
12-09-2018 22:10:16,F20,428
12-09-2018 22:20:01,F10,440
12-09-2018 22:20:08,P10,281
12-09-2018 22:20:08,P11,245
12-09-2018 22:20:08,P12,258
12-09-2018 22:20:15,F20,432
12-09-2018 22:30:01,F10,443
12-09-2018 22:30:08,P10,282
12-09-2018 22:30:08,P11,246
12-09-2018 22:30:08,P12,259
12-09-2018 22:30:15,F20,433
12-09-2018 22:40:01,F10,444
12-09-2018 22:40:09,P10,282
12-09-2018 22:40:09,P11,246
12-09-2018 22:40:09,P12,258
12-09-2018 22:40:16,F20,432
12-09-2018 22:50:01,F10,447
12-09-2018 22:50:08,P10,282
12-09-2018 22:50:08,P11,247
12-09-2018 22:50:08,P12,259
12-09-2018 22:50:15,F20,434
12-09-2018 23:00:01,F10,445
12-09-2018 23:00:08,P10,282
12-09-2018 23:00:08,P11,246
12-09-2018 23:00:08,P12,258
12-09-2018 23:00:15,F20,434
12-09-2018 23:10:01,F10,448
12-09-2018 23:10:08,P10,283
12-09-2018 23:10:08,P11,247
12-09-2018 23:10:08,P12,259
12-09-2018 23:10:15,F20,436
12-09-2018 23:20:01,F10,452
12-09-2018 23:20:08,P10,282
12-09-2018 23:20:08,P11,246
12-09-2018 23:20:08,P12,259
12-09-2018 23:20:15,F20,438
12-09-2018 23:30:01,F10,451
12-09-2018 23:30:09,P10,281
12-09-2018 23:30:09,P11,245
12-09-2018 23:30:09,P12,258
12-09-2018 23:30:16,F20,438
12-09-2018 23:40:01,F10,452
12-09-2018 23:40:08,P10,281
12-09-2018 23:40:08,P11,245
12-09-2018 23:40:08,P12,258
12-09-2018 23:40:15,F20,439
12-09-2018 23:50:01,F10,457
12-09-2018 23:50:08,P10,282
12-09-2018 23:50:08,P11,246
12-09-2018 23:50:08,P12,259
12-09-2018 23:50:15,F20,437
12-10-2018 00:00:01,F10,457
12-10-2018 00:00:09,P10,283
12-10-2018 00:00:09,P11,247
12-10-2018 00:00:09,P12,259
12-10-2018 00:00:16,F20,442
12-10-2018 00:10:01,F10,459
12-10-2018 00:10:08,P10,283
12-10-2018 00:10:08,P11,247
12-10-2018 00:10:08,P12,260
12-10-2018 00:10:15,F20,444
12-10-2018 00:20:01,F10,460
12-10-2018 00:20:08,P10,282
12-10-2018 00:20:08,P11,247
12-10-2018 00:20:08,P12,259
12-10-2018 00:20:15,F20,444
12-10-2018 00:30:01,F10,461
12-10-2018 00:30:08,P10,283
12-10-2018 00:30:08,P11,247
12-10-2018 00:30:08,P12,260
12-10-2018 00:30:15,F20,447
12-10-2018 00:40:01,F10,464
12-10-2018 00:40:08,P10,285
12-10-2018 00:40:08,P11,249
12-10-2018 00:40:08,P12,262
12-10-2018 00:40:15,F20,447
12-10-2018 00:50:01,F10,466
12-10-2018 00:50:09,P10,285
12-10-2018 00:50:09,P11,249
12-10-2018 00:50:09,P12,261
12-10-2018 00:50:16,F20,447
12-10-2018 01:00:01,F10,467
12-10-2018 01:00:08,P10,284
12-10-2018 01:00:08,P11,248
12-10-2018 01:00:08,P12,261
12-10-2018 01:00:15,F20,448
12-10-2018 01:10:01,F10,466
12-10-2018 01:10:08,P10,285
12-10-2018 01:10:08,P11,250
12-10-2018 01:10:08,P12,262
12-10-2018 01:10:15,F20,454
12-10-2018 01:20:02,F10,467
12-10-2018 01:20:09,P10,286
12-10-2018 01:20:09,P11,250
12-10-2018 01:20:09,P12,263
12-10-2018 01:20:16,F20,452
12-10-2018 01:30:01,F10,467
12-10-2018 01:30:08,P10,285
12-10-2018 01:30:08,P11,250
12-10-2018 01:30:08,P12,262
12-10-2018 01:30:15,F20,453
12-10-2018 01:40:01,F10,469
12-10-2018 01:40:08,P10,286
12-10-2018 01:40:08,P11,250
12-10-2018 01:40:08,P12,263
12-10-2018 01:40:16,F20,454
12-10-2018 01:50:01,F10,470
12-10-2018 01:50:08,P10,285
12-10-2018 01:50:08,P11,250
12-10-2018 01:50:08,P12,262
12-10-2018 01:50:15,F20,455
12-10-2018 02:00:01,F10,470
12-10-2018 02:00:08,P10,284
12-10-2018 02:00:08,P11,249
12-10-2018 02:00:08,P12,261
12-10-2018 02:00:15,F20,457
12-10-2018 02:10:01,F10,474
12-10-2018 02:10:09,P10,286
12-10-2018 02:10:09,P11,250
12-10-2018 02:10:09,P12,263
12-10-2018 02:10:16,F20,458
12-10-2018 02:20:01,F10,473
12-10-2018 02:20:08,P10,285
12-10-2018 02:20:08,P11,249
12-10-2018 02:20:08,P12,262
